district_id,district,median_rent,rent_change_pct,gini,poverty_rate,afd_prc,die_linke_prc,year
5,Mitte,14.52,9.0,0.36,24.0,8.52,23.95,2025
2,Friedrichshain-Kreuzberg,13.43,8.6,0.33,21.0,6.47,36.63,2025
7,Pankow,12.25,8.1,0.31,14.4,16.03,23.74,2025
1,Charlottenburg-Wilmersdorf,13.15,8.0,0.36,18.1,9.2,11.48,2025
9,Spandau,9.75,6.9,0.28,20.0,20.25,10.91,2025
10,Steglitz-Zehlendorf,12.04,7.0,0.33,13.7,10.29,8.78,2025
11,Tempelhof-Schoeneberg,11.36,7.2,0.29,17.7,11.15,12.11,2025
6,Neukoelln,11.93,8.3,0.29,24.4,13.04,29.97,2025
12,Treptow-Koepenick,10.41,7.1,0.27,14.4,20.54,41.84,2025
4,Marzahn-Hellersdorf,9.75,7.6,0.25,16.8,29.51,16.8,2025
3,Lichtenberg,11.24,8.4,0.3,25.2,21.86,33.98,2025
8,Reinickendorf,10.6,7.5,0.31,20.7,18.03,11.77,2025
