bezirksname,wahlberechtigte_insgesamt,waehler,gueltige_stimmen,spd,cdu,gruene,fdp,afd,die_linke,wahlbeteiligung_%,spd_%,cdu_%,gruene_%,fdp_%,afd_%,die_linke_%,others_%
Charlottenburg-Wilmersdorf,220328.0,173125.0,170911.0,47579.0,50826.0,22837.0,15476.0,13565.0,16233.0,78.58,27.84,29.74,13.36,9.06,7.94,9.5,2.57
Friedrichshain-Kreuzberg,172386.0,133173.0,131738.0,21845.0,14850.0,37479.0,3865.0,6950.0,32212.0,77.25,16.58,11.27,28.45,2.93,5.28,24.45,11.03
Lichtenberg,205300.0,149116.0,147072.0,20720.0,28905.0,8609.0,5018.0,23119.0,51249.0,72.63,14.09,19.65,5.85,3.41,15.72,34.85,6.43
Marzahn-Hellersdorf,200704.0,138992.0,136785.0,17172.0,30480.0,4440.0,4852.0,28167.0,46782.0,69.25,12.55,22.28,3.25,3.55,20.59,34.2,3.58
Mitte,206706.0,151412.0,149071.0,35036.0,27654.0,26781.0,9017.0,11782.0,30492.0,73.25,23.5,18.55,17.97,6.05,7.9,20.45,5.57
Neukölln,202618.0,143553.0,141105.0,37777.0,34593.0,15480.0,7255.0,15105.0,23204.0,70.85,26.77,24.52,10.97,5.14,10.7,16.44,5.45
Pankow,288112.0,228615.0,225924.0,37692.0,42534.0,33952.0,9288.0,26095.0,64006.0,79.35,16.68,18.83,15.03,4.11,11.55,28.33,5.47
Reinickendorf,182398.0,137240.0,134860.0,31882.0,49654.0,10647.0,9688.0,17738.0,10384.0,75.24,23.64,36.82,7.89,7.18,13.15,7.7,3.61
Spandau,162952.0,117918.0,115777.0,37509.0,36623.0,6480.0,7242.0,15708.0,8373.0,72.36,32.4,31.63,5.6,6.26,13.57,7.23,3.32
Steglitz-Zehlendorf,221210.0,180720.0,178373.0,43801.0,63085.0,22712.0,16159.0,14549.0,13392.0,81.7,24.56,35.37,12.73,9.06,8.16,7.51,2.62
Tempelhof-Schöneberg,235250.0,181159.0,178666.0,39380.0,51708.0,33763.0,11362.0,16188.0,19356.0,77.01,22.04,28.94,18.9,6.36,9.06,10.83,3.87
Treptow-Köpenick,205106.0,157111.0,155192.0,21379.0,29384.0,7755.0,5831.0,23245.0,61881.0,76.6,13.78,18.93,5.0,3.76,14.98,39.87,3.68
