districts,eligible_voters,voter,valid_votes,spd,cdu,gruene,fdp,afd,die_linke,turnout_prc,spd_prc,cdu_prc,gruene_prc,fdp_prc,afd_prc,die_linke_prc,others_prc
Charlottenburg-Wilmersdorf,11257,4955,4894,1309,959,1222,341,355,387,44.02,26.75,19.6,24.97,6.97,7.25,7.91,6.56
Friedrichshain-Kreuzberg,0,1921,1916,270,141,835,121,39,290,inf,14.09,7.36,43.58,6.32,2.04,15.14,11.48
Marzahn-Hellersdorf,0,4947,4891,506,2376,406,185,324,830,inf,10.35,48.58,8.3,3.78,6.62,16.97,5.4
Mitte,207010,140655,138594,30611,19216,42443,8448,7632,19764,67.95,22.09,13.86,30.62,6.1,5.51,14.26,7.56
Neukoelln,11795,6679,6484,1930,1434,950,515,611,488,56.63,29.77,22.12,14.65,7.94,9.42,7.53,8.57
Pankow,55558,37788,37449,6010,4978,12811,1304,3213,6015,68.02,16.05,13.29,34.21,3.48,8.58,16.06,8.33
Reinickendorf,1217,5914,5848,1365,1927,1101,499,321,192,485.95,23.34,32.95,18.83,8.53,5.49,3.28,7.58
Spandau,19591,19009,18682,5867,5060,2227,1798,1635,801,97.03,31.4,27.08,11.92,9.62,8.75,4.29,6.93
Steglitz-Zehlendorf,0,23806,23600,5605,7235,5647,2007,870,936,inf,23.75,30.66,23.93,8.5,3.69,3.97,5.51
Tempelhof-Schoeneberg,2085,797,790,173,311,112,85,56,16,38.23,21.9,39.37,14.18,10.76,7.09,2.03,4.68
Treptow-Koepenick,33276,13498,13139,1953,1597,1154,826,2132,4216,40.56,14.86,12.15,8.78,6.29,16.23,32.09,9.6
