district,Number of rental offers,Lower market median (€ / m² / month),Change compared to last yr in % (lower segment),Upper market  median (€ / m² / month),Change compared to last yr in % (upper segment),All market median (€ / m² / month),Change compared to last yr in % (all segments)
Charlottenb.-Wilm.,2697,10,8.5,17.51,7.9,13.15,8
Friedrichsh.-Kreuzb.,2731,10.25,9.1,17.91,8.2,13.43,8.6
Lichtenberg,1715,8.48,9.2,14.41,8.1,11.24,8.4
Marzahn-Hellersd.,1370,7.26,8,12.61,7.3,9.75,7.6
Mitte,4339,11.51,10.4,19.47,8.7,14.52,9
Neukoelln,3187,9.68,9.2,15.82,8,11.93,8.3
Pankow,3607,9.79,8.4,16.09,7.7,12.25,8.1
Reinickendorf,2428,8.47,7.7,13.93,7.3,10.6,7.5
Spandau,1940,7.66,6.7,13.03,6.8,9.75,6.9
Steglitz-Zehlendorf,3468,9.76,6.9,15.37,6.9,12.04,7
Tempelhof-Schoeneb.,3124,9.25,7.2,14.65,7,11.36,7.2
Treptow-Koepenick,2436,8.34,7,13.43,6.9,10.41,7.1
