borough,bezirk,minRent,avgRent,maxRent,minBuy,avgBuy,maxBuy,url
Charlottenburg (Charlottenburg),Charlottenburg-Wilmersdorf,8.85,16.18,28.55,2079,5065,11014,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/charlottenburg-charlottenburg
Grunewald (Wilmersdorf),Charlottenburg-Wilmersdorf,11.89,18.17,28.61,4412,7359,11834,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/grunewald-wilmersdorf
Schmargendorf (Wilmersdorf),Charlottenburg-Wilmersdorf,13.54,17.81,29.07,4790,7006,11762,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/schmargendorf-wilmersdorf
Wilmersdorf (Wilmersdorf),Charlottenburg-Wilmersdorf,13.59,15.77,28.04,3261,5259,11003,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/wilmersdorf-wilmersdorf
Friedrichshain (Friedrichshain),Friedrichshain-Kreuzberg,13.68,16.79,28.59,3175,5052,9776,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/friedrichshain-friedrichshain
Kreuzberg (Kreuzberg),Friedrichshain-Kreuzberg,14.66,16.67,29.78,3316,5455,9954,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/kreuzberg-kreuzberg
Falkenberg (Hohenschönhausen),Lichtenberg (Bezirk),8.3,11.07,16.71,2784,3151,4756,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/falkenberg-hohenschoenhausen
Friedrichsfelde (Lichtenberg),Lichtenberg (Bezirk),10.54,13.36,22.15,3060,3727,6507,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/friedrichsfelde-lichtenberg
Alt-Hohenschönhausen (Hohenschönhausen),Lichtenberg (Bezirk),9.27,13.16,21.42,3098,3950,6913,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/alt-hohenschoenhausen-hohenschoenhausen
Karlshorst (Lichtenberg),Lichtenberg (Bezirk),10.28,13.38,20.57,3547,4212,6516,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/karlshorst-lichtenberg
Lichtenberg (Lichtenberg),Lichtenberg (Bezirk),10.77,14.15,23.99,3175,4272,8713,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/lichtenberg-lichtenberg
Malchow (Hohenschönhausen),Lichtenberg (Bezirk),7.77,13.27,21.65,3136,3784,6100,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/malchow-hohenschoenhausen
Neu-Hohenschönhausen (Hohenschönhausen),Lichtenberg (Bezirk),7.36,11.77,19.34,2749,3272,5080,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/neu-hohenschoenhausen-hohenschoenhausen
Rummelsburg (Lichtenberg),Lichtenberg (Bezirk),14.33,15.6,22.63,5216,5884,8766,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/rummelsburg-lichtenberg
Wartenberg (Hohenschönhausen),Lichtenberg (Bezirk),7.68,13.04,26.75,2906,3456,5754,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/wartenberg-hohenschoenhausen
Biesdorf (Marzahn),Marzahn-Hellersdorf,9.82,13.5,20.22,2625,3738,6036,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/biesdorf-marzahn
Hellersdorf (Hellersdorf),Marzahn-Hellersdorf,9.16,12.43,18.1,2692,3155,5536,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/hellersdorf-hellersdorf
Kaulsdorf (Hellersdorf),Marzahn-Hellersdorf,8.62,12.96,20.5,2481,3550,5682,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/kaulsdorf-hellersdorf
Mahlsdorf (Hellersdorf),Marzahn-Hellersdorf,10.04,13.38,20.59,2859,3672,6983,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/mahlsdorf-hellersdorf
Marzahn (Marzahn),Marzahn-Hellersdorf,8.29,11.88,21.95,2735,3447,5821,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/marzahn-marzahn
Mitte (Mitte),Mitte (Bezirk),15.26,17.79,30.25,2650,5766,12053,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/mitte-mitte
Tiergarten (Tiergarten),Mitte (Bezirk),12.29,16.15,30.61,2588,4852,10740,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/tiergarten-tiergarten
Wedding (Wedding),Mitte (Bezirk),9.27,14.38,26.5,3174,4285,9599,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/wedding-wedding
Britz (Neukölln),Neukölln (Bezirk),10.21,13.71,21.38,2863,4072,6810,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/britz-neukoelln
Buckow (Neukölln),Neukölln (Bezirk),10,13.55,20.02,3332,3803,5868,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/buckow-neukoelln
Neukölln (Neukölln),Neukölln (Bezirk),9.3,14.06,26,2944,4281,8746,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/neukoelln-neukoelln
Rudow (Neukölln),Neukölln (Bezirk),9.21,13.32,21.24,3107,3831,5921,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/rudow-neukoelln
Blankenburg (Weißensee),Pankow (Bezirk),10.71,13.61,21.3,3247,3712,5863,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/blankenburg-weissensee
Blankenfelde (Pankow),Pankow (Bezirk),11.03,13.41,21.38,2494,3595,6501,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/blankenfelde-pankow
Buch (Pankow),Pankow (Bezirk),8.57,11.74,21.64,2653,3480,6488,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/buch-pankow
Französisch Buchholz (Pankow),Pankow (Bezirk),11.99,13.74,20.38,3376,3877,6284,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/franzoesisch-buchholz-pankow
Heinersdorf (Weißensee),Pankow (Bezirk),12.04,14.14,23.03,3710,4017,6368,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/heinersdorf-weissensee
Karow (Weißensee),Pankow (Bezirk),8.63,12.68,21.9,2499,3467,5372,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/karow-weissensee
Niederschönhausen (Pankow),Pankow (Bezirk),11.71,14.74,22.54,3749,4570,7437,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/niederschoenhausen-pankow
Pankow (Pankow),Pankow (Bezirk),11.97,14.62,25.07,3890,4811,7456,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/pankow-pankow
Prenzlauer Berg (Prenzlauer Berg),Pankow (Bezirk),11.32,16.92,29.34,3670,5637,10417,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/prenzlauer-berg-prenzlauer-berg
